"ID","Title","Abstract Note","Author","Year"," Venue","search_strings","V1_decision","V1_reason","V2_decision","V2_reason"
"1","Automating rest api postman test cases using llm","… formulate test cases that cover a broad spectrum of REST API … test cases for various REST APIs. This training data enables the LLMs to learn and understand the intricacies of REST API …","Sri, SD; Raman, RCSP; Rajagopal, G; Chan, ST","2024","arXiv preprint arXiv …","String A & String B","EXCLUDE","IC-T, IC-E","EXCLUDE","Failed V1 screening"
"2","Leveraging large language models to improve rest api testing","… We selected GPT-3.5 Turbo as the LLM for this work, given its accuracy and efficiency, as … By providing the LLM with concise, contextually-rich instructions and examples, the few-shot …","Kim, M; Stennett, T; Shah, D; Sinha, S; ...","2024","… of the 2024 ACM/IEEE 44th …","String A","INCLUDE","","INCLUDE",""
"3","Automated REST API Black-box Test Generation in Practice: An Experience Report from Industry","… large language model (LLM). This LLM-based source delegates value generation to an LLM… language description present in the OpenAPI specification. Upon successfully reaching new …","Corradini, D; Shin, SY; Bianculli, D","tr?ng ","19th IEEE International Conference on …","String A","EXCLUDE","IC-Y, IC-E","EXCLUDE","Failed V1 screening"
"4","OpenAI for OpenAPI: Automated generation of REST API specification via LLMs","… Through analysis of LLM outputs, we found that the generated results are generally closer to the Swagger 2.0 specification, particularly when the … Therefore, OOPS instructs the LLM …","Chen, H; Li, Y; Chen, C; Lin, F; Li, W","2026","arXiv preprint arXiv:2601.12735","String A","EXCLUDE","IC-T","EXCLUDE","Failed V1 screening"
"5","Ai-driven rest api testing: Api automation and testing","… constructing test cases based on specifications such as API documentation or OpenAPI … We can exclude CHAT GPT from the list because it is a text generation tool that cannot be …","Mudiyanselage, I Navarathna","2024","","String A","EXCLUDE","IC-T, IC-E","EXCLUDE","Failed V1 screening"
"6","Autoresttest: A tool for automated rest api testing using llms and marl","… Orso, “Automated test generation for rest apis: No time to rest … Orso, “Leveraging large language models to improve rest api … approach for rest api testing with semantic graphs and llm-…","Stennett, T; Kim, M; Sinha, S; ...","2025","2025 IEEE/ACM 47th …","String A","EXCLUDE","IC-E","EXCLUDE","Failed V1 screening"
"7","AI-Assisted REST API Design with Large Language Models","… automated code review comments, and generating test cases from requirements [19]. The … a function schema for OpenAPI components and instructing the LLM to invoke this function. …","Martinez-Gil, J; Daxerer, C; Winterer, M; ...","2026","… Conference on Software …","String A","EXCLUDE","IC-E","EXCLUDE","Failed V1 screening"
"8","REST API Fuzzing Using API Dependencies and Large Language Models","… test cases from REST API documentation in Swagger format. … generates significantly more test cases than random testing … can guide a large language model (LLM) in generating valid …","Liu, CH; Chen, SL; Li, KY","2026","Engineering Proceedings","String A","EXCLUDE","IC-E","EXCLUDE","Failed V1 screening"
"9","Combining TSL and LLM to Automate REST API Testing: A Comparative Study","… an OpenAPI specification into test cases using the TSL. Then, we convert the TSL test cases … In presenting examples to the model, we demonstrate to the LLM how to follow these steps. …","Barradas, T; Paes, A; Neves, VO","2025","arXiv preprint arXiv:2509.05540","String A & String B","EXCLUDE","IC-T, IC-E","EXCLUDE","Failed V1 screening"
"10","You Can REST Now: Automated REST API Documentation and Testing via LLM-Assisted Request Mutations","… -the-art automated testing tools commonly use a black-box approach, requiring an OpenAPI … In our case, it would be that the LLM has been trained on an OpenAPI Specification and thus…","Decrop, A; Devroey, X; Papadakis, M; ...","2024","arXiv preprint arXiv …","String A","EXCLUDE","IC-T, IC-E","EXCLUDE","Failed V1 screening"
"11","A multi-agent approach for rest api testing with semantic graphs and llm-driven inputs","… multi-agent approach for REST API testing that integrates multi-… Our approach treats REST API testing as a separable … four leading black-box REST API testing tools, including those …","Kim, M; Stennett, T; Sinha, S; Orso, A","2024","arXiv preprint arXiv:2411.07098","String A","EXCLUDE","IC-T, IC-E","EXCLUDE","Failed V1 screening"
"12","Assessing REST API Test Generation Strategies with Log Coverage","… LLMs to synthesize test cases directly from … test generation directly from OpenAPI specifications in a black-box setting. Our approach therefore investigates LLM-based test generation as …","Reinikainen, N; Mäntylä, M; Wang, Y","2026","arXiv preprint arXiv:2604.07073","String A","EXCLUDE","IC-T, IC-E","EXCLUDE","Failed V1 screening"
"13","An Intelligent Agent for Automated Test Generation from OpenAPI Specifications","… , communicating with the Large Language Model (LLM), and assembling the resulting test collection. The workflow begins when the user provides an OpenAPI specification. This can be …","Vilela, RF; Andrade, SA de; Santos, EBF; ...","2025","Workshop sobre Bots …","String A & String B","INCLUDE","","EXCLUDE","EC-S"
"14","Agentic LLMs for REST API Test Amplification: A Comparative Study Across Cloud Applications","… This paper investigates the capability of agentic LLM systems to amplify REST API test cases and provides a comparison across diverse cloud applications. The study includes the …","Besjes, J; Nooyens, R; Bardakci, T; Beyazit, M; ...","2025","arXiv preprint arXiv …","String A & String B","EXCLUDE","IC-T","EXCLUDE","Failed V1 screening"
"15","Restless: Enhancing state-of-the-art rest api fuzzing with llms in cloud service computing","… Then it automatically generate test cases from the OpenAPI Specification. It consists of three … In this paper, we leverage LLM to enhance the semantics of OpenAPI Specifications to pass …","Zheng, T; Shao, J; Dai, J; Jiang, S; ...","2024","IEEE Transactions on …","String A","EXCLUDE","IC-E","EXCLUDE","Failed V1 screening"
"16","From REST to MCP: An empirical study of API wrapping and automated server generation for LLM agents","… that LLM tool-… OpenAPI endpoint definitions and MCP tool schemas echoes a pattern that software engineering has exploited before: tools such as Swagger Codegen and OpenAPI …","Mastouri, M; Ksontini, E; Barrak, A; ...","2025","arXiv preprint arXiv …","String A","EXCLUDE","IC-T, IC-E","EXCLUDE","Failed V1 screening"
"17","RESTifAI: LLM-Based Workflow for Reusable REST API Testing","… RESTifAI advances LLM-based API testing by coupling happypath generation with … The results indicate that we compete with the latest REST API test generation tools. Additionally, …","Kogler, L; Ehrhart, M; Dornauer, B; Enoiu, EP","2025","arXiv preprint arXiv …","String A","EXCLUDE","IC-T","EXCLUDE","Failed V1 screening"
"18","Dyner: Optimized test case generation for representational state transfer (rest) ful application programming interface (api) fuzzers guided by dynamic error …","… related works in automated test generation for RESTful APIs, … constraints to OpenAPI documents following OpenAPI syntax … revision strategy based on LLM semantic understanding. …","Chen, J; Chen, Y; Pan, Z; Chen, Y; Li, Y; Li, Y; Zhang, M; ...","2024","Electronics","String A","EXCLUDE","IC-E","EXCLUDE","Failed V1 screening"
"19","Unlocking the Next Generation of REST API Security: A Critical Analysis of the Path from Fuzzing to LLMs","… LLMs are transforming test generation. RESTLess [25] uses an LLM for parameter generation and … These AI-driven methods move automated testing closer to human-level intuition [28]. …","Zhang, X; He, Y; Chen, Y; Wang, Z; Lu, H; ...","2025","2025 IEEE 10th …","String A","EXCLUDE","IC-E","EXCLUDE","Failed V1 screening"
"20","Prompt-Based REST API Test Amplification in Industry: An Experience Report","… This test serves as the seed input to the LLM, which is prompted to generate additional test cases to increase coverage, explore alternative execution paths, test boundary conditions, …","Bardakci, T; Faes, A; Beyazit, M; Demeyr, S","2026","arXiv preprint arXiv:2601.17903","String A","EXCLUDE","IC-T","EXCLUDE","Failed V1 screening"
"21","WFC/WFD: Web Fuzzing Commons, Dataset and Guidelines to Support Experimentation in REST API Fuzzing","… REST API fuzzing is a technique for automatically testing REST APIs by generating test data or test cases … Regarding fuzzing REST APIs, we argue that, if an LLM is needed, it should be …","Sahin, O; Zhang, M; Arcuri, A","2025","arXiv preprint arXiv:2509.01612","String A","EXCLUDE","IC-T, IC-E","EXCLUDE","Failed V1 screening"
"22","Adaptive rest api testing with reinforcement learning","… from OpenAPI specifications, generating test cases covering … -based approach for the automated testing of REST APIs. To … , utilize a large language model to sequence operations more …","Kim, M; Sinha, S; Orso, A","2023","2023 38th IEEE/ACM International …","String A","EXCLUDE","IC-E","EXCLUDE","Failed V1 screening"
