id;title;authors;year;venue;search_string;v1_decision;v1_reason
1;LlamaRestTest: Effective REST API Testing with Small Language Models;"Kim, Myeongsoo; Sinha, Saurabh; Orso, Alessandro";2025;Proceedings of the ACM on Software Engineering;String A;INCLUDE;LLM + REST API testing
2;Test Case Generation for Requirements in Natural Language - An LLM Comparison Study;"Korraprolu, Brahma Reddy; Pinninti, Pavitra; Reddy, Y. Raghu";2025;Proceedings of the 18th Innovations in Software Engineering Conference;String A;EXCLUDE;IC4 - Not related to REST API testing
3;Automated Web Application Testing: End-to-End Test Case Generation with Large Language Models and Screen Transition Graphs;"LE, Khang Nguyen; NGUYEN, Minh Ngoc; NGUYEN, Hiep; VO, Trung; LUU, Son; BUI, Quan Minh; NOMURA, Shoshin; NGUYEN, Minh Le";2025;;String A;EXCLUDE;IC4 - Web application testing, not REST API testing
4;A Review of Large Language Models for Automated Test Case Generation;"Celik, Arda; Mahmoud, Qusay H.";2025;Machine Learning and Knowledge Extraction;String A;EXCLUDE;IC6 - Review paper
5;Harnessing Large Language Models for Automated Software Testing: A Leap Towards Scalable Test Case Generation;"Rehan, Shaheer; Al-Bander, Baidaa; Al-Said Ahmad, Amro";2025;Electronics;String A;EXCLUDE;IC4 - Unit testing, not REST API testing
6;A Systematic Approach for Assessing Large Language Models' Test Case Generation Capability;"Chang, Hung-Fu; Shirazi, Mohammad Shokrolah";2025;;String A;UNSURE;Need full-text review
7;Automated User Story Generation with Test Case Specification Using Large Language Model;"Rahman, Tajmilur; Zhu, Yuecai";2024;;String A;EXCLUDE;IC4 - Requirements engineering, not REST API testing
8;Large Language Model-based Test Case Generation for GP Agents;"Jorgensen, Steven; Nadizar, Giorgia; Pietropolli, Gloria; Manzoni, Luca; Medvet, Eric; O'Reilly, Una-May; Hemberg, Erik";2024;Proceedings of the Genetic and Evolutionary Computation Conference;String A;EXCLUDE;IC4 - Not related to REST API testing
9;Leveraging Large Language Models to Improve REST API Testing;"Kim, Myeongsoo; Stennett, Tyler; Shah, Dhruv; Sinha, Saurabh; Orso, Alessandro";2024;Proceedings of the 2024 ACM/IEEE 44th International Conference on Software Engineering: New Ideas and Emerging Results;String A;INCLUDE;LLM + REST API testing
10;Apitestgenie: Automated api test generation through generative ai;"Pereira, André; Lima, Bruno; Faria, Jo?o Pascoal";2024;arXiv preprint arXiv:2409.03838;String A;INCLUDE;LLM + API test generation
11;Automating rest api postman test cases using llm;"Sri, S. Deepika; Raman, Raja CSP; Rajagopal, Gopinath; Chan, S. Taranath";2024;arXiv preprint arXiv:2404.10678;String A;INCLUDE;LLM + REST API test generation
12;Automated Test Case Generation for Software APIs Using Reinforcement Learning;Wang, Nan;2026;;String A;INCLUDE;LLM + REST API test generation
13;Evaluating LLMs on Sequential API Call Through Automated Test Generation;"Huang, Yuheng; Song, Jiayang; Song, Da; Ji, Zhenlan; Wang, Wenhan; Wang, Shuai; Ma, Lei";2025;arXiv preprint arXiv:2507.09481;String A;INCLUDE;LLM evaluation through REST API test generation
14;OpenAI for OpenAPI: Automated generation of REST API specification via LLMs;"Chen, Hao; Li, Yunchun; Chen, Chen; Lin, Fengxu; Li, Wei";2026;arXiv preprint arXiv:2601.12735;String A;EXCLUDE;EC4 - API specification generation only
15;Combining TSL and LLM to Automate REST API Testing: A Comparative Study;"Barradas, Thiago; Paes, Aline; Neves, Vânia de Oliveira";2025;arXiv preprint arXiv:2509.05540;String A;INCLUDE;LLM + REST API testing
16;Automating Software and Vulnerability Testing in REST APIs with Large Language Models;Strauß, Diana;2025;;String A;INCLUDE;LLM + REST API benchmark
17;RESTestBench: A Benchmark for Evaluating the Effectiveness of LLM-Generated REST API Test Cases from NL Requirements;"Kogler, Leon; Hangler, Stefan; Ehrhart, Maximilian; Dornauer, Benedikt; Wuersching, Roland; Schrammel, Peter";2026;arXiv preprint arXiv:2604.25862;String A;INCLUDE;LLM + REST API vulnerability testing
18;APITestGenie: Generating Web API Tests from Requirements and API Specifications with LLMs;"Pereira, André; Lima, Bruno; Faria, Jo?o Pascoal";2026;arXiv preprint arXiv:2604.02039;String A;INCLUDE;LLM + API test generation
19;LRASGen: LLM-based RESTful API Specification Generation;"Deng, Sida; Huang, Rubing; Zhang, Man; Cui, Chenhui; Towey, Dave; Wang, Rongcun";2026;ACM Transactions on Software Engineering and Methodology;String A;EXCLUDE;EC4 - API specification generation only
20;MASTEST: A LLM-Based Multi-Agent System For RESTful API Tests;"Han, Xiaoke; Zhu, Hong";2025;arXiv preprint arXiv:2511.18038;String A;INCLUDE;LLM + REST API testing
21;An Intelligent Agent for Automated Test Generation from OpenAPI Specifications;"Vilela, Ricardo F.; de Andrade, Stev?o Alves; Santos, Eduardo BF; Silva, Williamson; Valle, Pedro HD";2025;Workshop sobre Bots na Engenharia de Software (WBOTS);String A;INCLUDE;LLM + REST API test generation
22;Effective Automation of Black-Box Testing for REST APIs with Machine Learning and Language Models;Kim, Myeongsoo;2025;;String A;INCLUDE;LLM agent + OpenAPI test generation
23;Exploring LLM-Powered Software Testing: A Study on Multi-Agent Systems for REST APIs;Sidiropoulos, Efstathios;2025;;String A;EXCLUDE;EC3 - SLR/review paper
24;Automated REST API Black-box Test Generation in Practice: An Experience Report from Industry;"Corradini, Davide; Shin, Seung Yeob; Bianculli, Domenico";;19th IEEE International Conference on Software Testing, Verification and Validation (ICST);String A;INCLUDE;LLM + REST API black-box testing
25;You can rest now: Automated specification inference and black-box testing of restful apis with large language models;"Decrop, Alix; Perrouin, Gilles; Papadakis, Mike; Devroey, Xavier; Schobbens, Pierre-Yves";2024;;String A;EXCLUDE;EC6 - No LLM or Generative AI
26;Systematic Literature Review: RESTful API Testing Using Machine Learning Techniques;"Otieno, Bill A.; Araka, Eric";2025;Journal of the Kenya National Commission for UNESCO;String A;EXCLUDE;EC3 - SLR/review paper
27;Ai-driven rest api testing: Api automation and testing;Navarathna Mudiyanselage, Isuri;2024;;String A;EXCLUDE;EC3 - Thesis, not journal/conference/preprint
28;An Approach to Generating API Test Scripts Using GPT;"Nguyen, Cuong; Bui, Huy; Nguyen, Vu; Nguyen, Tien";2023;Proceedings of the 12th International Symposium on Information and Communication Technology;String A;INCLUDE;LLM + REST API testing
29;REST API Fuzzing Using API Dependencies and Large Language Models;"Liu, Chien-Hung; Chen, Shu-Ling; Li, Kuang-Yao";2026;Engineering Proceedings;String A;INCLUDE;LLM + REST API testing
